date,strain,mRNA1,mRNA2,embryoID,channel,xpoint,timepoints,intensity,unique_id,aligned_row
250806,N2,imb2,set3,02,ch1,1,0,10216.9893,250806_N2_imb2_set3_02_ch1,-59
250806,N2,imb2,set3,02,ch1,2,0.1072,10238.6611,250806_N2_imb2_set3_02_ch1,-58
250806,N2,imb2,set3,02,ch1,3,0.2144,10240.1514,250806_N2_imb2_set3_02_ch1,-57
250806,N2,imb2,set3,02,ch1,4,0.3215,10230.8896,250806_N2_imb2_set3_02_ch1,-56
250806,N2,imb2,set3,02,ch1,5,0.4287,10240.9062,250806_N2_imb2_set3_02_ch1,-55
250806,N2,imb2,set3,02,ch1,6,0.5359,10259.0605,250806_N2_imb2_set3_02_ch1,-54
250806,N2,imb2,set3,02,ch1,7,0.6431,10302.1396,250806_N2_imb2_set3_02_ch1,-53
250806,N2,imb2,set3,02,ch1,8,0.7503,10325.9023,250806_N2_imb2_set3_02_ch1,-52
250806,N2,imb2,set3,02,ch1,9,0.8574,10350.3682,250806_N2_imb2_set3_02_ch1,-51
250806,N2,imb2,set3,02,ch1,10,0.9646,10375.5088,250806_N2_imb2_set3_02_ch1,-50
250806,N2,imb2,set3,02,ch1,11,1.0718,10367.4805,250806_N2_imb2_set3_02_ch1,-49
250806,N2,imb2,set3,02,ch1,12,1.179,10352.4619,250806_N2_imb2_set3_02_ch1,-48
250806,N2,imb2,set3,02,ch1,13,1.2862,10345.501,250806_N2_imb2_set3_02_ch1,-47
250806,N2,imb2,set3,02,ch1,14,1.3933,10358.2686,250806_N2_imb2_set3_02_ch1,-46
250806,N2,imb2,set3,02,ch1,15,1.5005,10372.8779,250806_N2_imb2_set3_02_ch1,-45
250806,N2,imb2,set3,02,ch1,16,1.6077,10415.4414,250806_N2_imb2_set3_02_ch1,-44
250806,N2,imb2,set3,02,ch1,17,1.7149,10429.001,250806_N2_imb2_set3_02_ch1,-43
250806,N2,imb2,set3,02,ch1,18,1.8221,10456.6475,250806_N2_imb2_set3_02_ch1,-42
250806,N2,imb2,set3,02,ch1,19,1.9292,10484.7617,250806_N2_imb2_set3_02_ch1,-41
250806,N2,imb2,set3,02,ch1,20,2.0364,10503.0225,250806_N2_imb2_set3_02_ch1,-40
250806,N2,imb2,set3,02,ch1,21,2.1436,10533.2588,250806_N2_imb2_set3_02_ch1,-39
250806,N2,imb2,set3,02,ch1,22,2.2508,10558.4111,250806_N2_imb2_set3_02_ch1,-38
250806,N2,imb2,set3,02,ch1,23,2.358,10570.1973,250806_N2_imb2_set3_02_ch1,-37
250806,N2,imb2,set3,02,ch1,24,2.4651,10594.792,250806_N2_imb2_set3_02_ch1,-36
250806,N2,imb2,set3,02,ch1,25,2.5723,10645.5625,250806_N2_imb2_set3_02_ch1,-35
250806,N2,imb2,set3,02,ch1,26,2.6795,10671.501,250806_N2_imb2_set3_02_ch1,-34
250806,N2,imb2,set3,02,ch1,27,2.7867,10715.8691,250806_N2_imb2_set3_02_ch1,-33
250806,N2,imb2,set3,02,ch1,28,2.8939,10792.7627,250806_N2_imb2_set3_02_ch1,-32
250806,N2,imb2,set3,02,ch1,29,3.001,10862.6934,250806_N2_imb2_set3_02_ch1,-31
