date,strain,mRNA1,mRNA2,embryoID,channel,xpoint,timepoints,intensity,unique_id,aligned_row
231206,U2OS,gapdh,tnpo1,image01,ch1,1,0,3822.72,231206_U2OS_gapdh_tnpo1_image01_ch1,-90
231206,U2OS,gapdh,tnpo1,image01,ch1,2,0.1072,3819.4797,231206_U2OS_gapdh_tnpo1_image01_ch1,-89
231206,U2OS,gapdh,tnpo1,image01,ch1,3,0.2144,3844.0725,231206_U2OS_gapdh_tnpo1_image01_ch1,-88
231206,U2OS,gapdh,tnpo1,image01,ch1,4,0.3215,3849.4207,231206_U2OS_gapdh_tnpo1_image01_ch1,-87
231206,U2OS,gapdh,tnpo1,image01,ch1,5,0.4287,3817.6938,231206_U2OS_gapdh_tnpo1_image01_ch1,-86
231206,U2OS,gapdh,tnpo1,image01,ch1,6,0.5359,3783.5947,231206_U2OS_gapdh_tnpo1_image01_ch1,-85
231206,U2OS,gapdh,tnpo1,image01,ch1,7,0.6431,3784.511,231206_U2OS_gapdh_tnpo1_image01_ch1,-84
231206,U2OS,gapdh,tnpo1,image01,ch1,8,0.7503,3818.3574,231206_U2OS_gapdh_tnpo1_image01_ch1,-83
231206,U2OS,gapdh,tnpo1,image01,ch1,9,0.8574,3844.1079,231206_U2OS_gapdh_tnpo1_image01_ch1,-82
231206,U2OS,gapdh,tnpo1,image01,ch1,10,0.9646,3858.3057,231206_U2OS_gapdh_tnpo1_image01_ch1,-81
231206,U2OS,gapdh,tnpo1,image01,ch1,11,1.0718,3860.0156,231206_U2OS_gapdh_tnpo1_image01_ch1,-80
231206,U2OS,gapdh,tnpo1,image01,ch1,12,1.179,3868.2793,231206_U2OS_gapdh_tnpo1_image01_ch1,-79
231206,U2OS,gapdh,tnpo1,image01,ch1,13,1.2862,3847.3525,231206_U2OS_gapdh_tnpo1_image01_ch1,-78
231206,U2OS,gapdh,tnpo1,image01,ch1,14,1.3933,3772.4626,231206_U2OS_gapdh_tnpo1_image01_ch1,-77
231206,U2OS,gapdh,tnpo1,image01,ch1,15,1.5005,3697.6343,231206_U2OS_gapdh_tnpo1_image01_ch1,-76
231206,U2OS,gapdh,tnpo1,image01,ch1,16,1.6077,3667.5835,231206_U2OS_gapdh_tnpo1_image01_ch1,-75
231206,U2OS,gapdh,tnpo1,image01,ch1,17,1.7149,3671.1484,231206_U2OS_gapdh_tnpo1_image01_ch1,-74
231206,U2OS,gapdh,tnpo1,image01,ch1,18,1.8221,3678.562,231206_U2OS_gapdh_tnpo1_image01_ch1,-73
231206,U2OS,gapdh,tnpo1,image01,ch1,19,1.9292,3703.9365,231206_U2OS_gapdh_tnpo1_image01_ch1,-72
231206,U2OS,gapdh,tnpo1,image01,ch1,20,2.0364,3719.8469,231206_U2OS_gapdh_tnpo1_image01_ch1,-71
231206,U2OS,gapdh,tnpo1,image01,ch1,21,2.1436,3729.5684,231206_U2OS_gapdh_tnpo1_image01_ch1,-70
231206,U2OS,gapdh,tnpo1,image01,ch1,22,2.2508,3742.6165,231206_U2OS_gapdh_tnpo1_image01_ch1,-69
231206,U2OS,gapdh,tnpo1,image01,ch1,23,2.358,3775.2744,231206_U2OS_gapdh_tnpo1_image01_ch1,-68
231206,U2OS,gapdh,tnpo1,image01,ch1,24,2.4651,3793.3142,231206_U2OS_gapdh_tnpo1_image01_ch1,-67
